fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,pi_estrella_t,inflacion,expectativa,meta_inflacion,brecha_ancla_meta,ancla_dentro_banda_meta
2017-01-01,B0,Modelo base TVP-VAR,2.711461768979895,0.14054517914453407,0.2520246348694626,0.8120991870901979,4.4638245374298435,3.83,4.4,4,0.46382453742984353,TRUE
2017-02-01,B0,Modelo base TVP-VAR,2.7179135239345062,0.13977607468471884,0.2520246348694626,0.8131274354733261,4.468787725717729,3.96,4.46,4,0.4687877257177293,TRUE
2017-03-01,B0,Modelo base TVP-VAR,2.714401254583686,0.1386791941019921,0.2520246348694626,0.814593901661735,4.45497835642318,4,4.28,4,0.4549783564231804,TRUE
2017-04-01,B0,Modelo base TVP-VAR,2.7218475223967253,0.13795504110167675,0.2520246348694626,0.8155620525315019,4.461896456859612,4.09,4.51,4,0.4618964568596118,TRUE
2017-05-01,B0,Modelo base TVP-VAR,2.71323629465684,0.1366792153119851,0.2520246348694626,0.8172677581592119,4.438497274131688,3.93,4.17,4,0.43849727413168793,TRUE
2017-06-01,B0,Modelo base TVP-VAR,2.728954216847561,0.13625805075419356,0.2520246348694626,0.8178308309252756,4.461136137089361,4.36,4.26,4,0.46113613708936096,TRUE
2017-07-01,B0,Modelo base TVP-VAR,2.7503134132442413,0.13602730661787543,0.2520246348694625,0.8181393225509027,4.494357609253423,5.22,4.48,4,0.49435760925342276,TRUE
2017-08-01,B0,Modelo base TVP-VAR,2.76525818315997,0.1355563541411163,0.2520246348694626,0.8187689588981866,4.515304282753132,4.72,4.51,4,0.5153042827531316,TRUE
2017-09-01,B0,Modelo base TVP-VAR,2.7895657895577592,0.13550518162583805,0.2520246348694626,0.8188373736049588,4.554614844424268,4.36,4.75,4,0.5546148444242682,TRUE
2017-10-01,B0,Modelo base TVP-VAR,2.795111749707881,0.13469340844105546,0.2520246348694625,0.8199226676168023,4.5576291935865765,4.2,4.53,4,0.5576291935865765,TRUE
2017-11-01,B0,Modelo base TVP-VAR,2.805698197816216,0.13407039215465663,0.2520246348694625,0.8207556045228059,4.570248363058051,4.69,4.63,4,0.5702483630580506,TRUE
2017-12-01,B0,Modelo base TVP-VAR,2.804110715029092,0.13300821474800278,0.2520246348694625,0.8221756745627711,4.5597731737131335,5.68,4.56,4,0.5597731737131335,TRUE
2018-01-01,B0,Modelo base TVP-VAR,2.8060667367543544,0.1320887786238644,0.2520246348694625,0.8234049077260558,4.556141988203458,4.71,4.71,4,0.556141988203458,TRUE
2018-02-01,B0,Modelo base TVP-VAR,2.8075709087259444,0.1311472987157065,0.2520246348694625,0.824663612159448,4.551626395738272,4.15,4.56,4,0.5516263957382721,TRUE
2018-03-01,B0,Modelo base TVP-VAR,2.814402636552494,0.13042134133947098,0.2520246348694625,0.8256341753759368,4.557338351186382,4.14,4.62,4,0.5573383511863819,TRUE
2018-04-01,B0,Modelo base TVP-VAR,2.8095103921523457,0.12927748947862916,0.2520246348694626,0.8271634394589085,4.5410053965225385,3.92,4.46,4,0.5410053965225385,TRUE
2018-05-01,B0,Modelo base TVP-VAR,2.8096159614160947,0.12831135264928198,0.2520246348694625,0.828455108776358,4.534095743539866,4.09,4.48,4,0.5340957435398659,TRUE
2018-06-01,B0,Modelo base TVP-VAR,2.8053041638517895,0.1271964876293981,0.2520246348694625,0.8299456191218282,4.519007114327341,3.79,4.43,4,0.5190071143273407,TRUE
2018-07-01,B0,Modelo base TVP-VAR,2.8034985709487557,0.12616966333306215,0.2520246348694625,0.8313184240886825,4.508640822759562,2.61,4.36,4,0.5086408227595616,TRUE
2018-08-01,B0,Modelo base TVP-VAR,2.8055784177279772,0.12526931941126704,0.2520246348694625,0.8325221320766294,4.505461986461577,3.36,4.33,4,0.5054619864615768,TRUE
2018-09-01,B0,Modelo base TVP-VAR,2.7976122010402174,0.124143769370403,0.2520246348694626,0.8340269276799814,4.484563173866413,4.55,4.32,4,0.48456317386641334,TRUE
2018-10-01,B0,Modelo base TVP-VAR,2.7882203591958348,0.12297707704632922,0.2520246348694625,0.8355867281473005,4.461164794134873,4.34,4.32,4,0.46116479413487266,TRUE
2018-11-01,B0,Modelo base TVP-VAR,2.7906946665127497,0.12227411447565223,0.2520246348694625,0.8365265486326373,4.460107221444566,3.15,4.47,4,0.4601072214445656,TRUE
2018-12-01,B0,Modelo base TVP-VAR,2.787069585962826,0.12134378893028323,0.2520246348694626,0.8377703403251707,4.447700517843288,2.31,4.38,4,0.44770051784328757,TRUE
2019-01-01,B0,Modelo base TVP-VAR,2.774874564088778,0.12018160000417422,0.2520246348694625,0.8393241200086851,4.420041609572608,4.1,4.07,4,0.42004160957260783,TRUE
2019-02-01,B0,Modelo base TVP-VAR,2.7714750282260687,0.11919391917554846,0.2520246348694626,0.8406445924128174,4.407692125865405,4.46,4.25,4,0.40769212586540515,TRUE
2019-03-01,B0,Modelo base TVP-VAR,2.771732763142568,0.11833502911536861,0.2520246348694625,0.8417928789744076,4.402088946022978,4.17,4.35,4,0.4020889460229782,TRUE
2019-04-01,B0,Modelo base TVP-VAR,2.774089684319046,0.11755655267188543,0.2520246348694626,0.8428336571601267,4.400391659474777,4.75,4.3,4,0.40039165947477695,TRUE
2019-05-01,B0,Modelo base TVP-VAR,2.7826191601042596,0.1169991538366549,0.2520246348694626,0.8435788673117114,4.410022296083412,4.54,4.39,4,0.4100222960834117,TRUE
2019-06-01,B0,Modelo base TVP-VAR,2.794414896307835,0.1165750114330076,0.2520246348694625,0.8441459212862408,4.425741734136706,4.8,4.36,4,0.4257417341367056,TRUE
2019-07-01,B0,Modelo base TVP-VAR,2.813345202077975,0.11642907560551799,0.2520246348694625,0.8443410290856321,4.4546935810419654,4.37,4.6,4,0.45469358104196544,TRUE
2019-08-01,B0,Modelo base TVP-VAR,2.8191408510235294,0.11574163320915873,0.2520246348694625,0.845260099991449,4.4590168298298,3.01,4.53,4,0.45901682982979963,TRUE
2019-09-01,B0,Modelo base TVP-VAR,2.8202766184208627,0.11487928667822174,0.2520246348694625,0.8464130076554421,4.454737147188449,1.8,4.34,4,0.4547371471884487,TRUE
2019-10-01,B0,Modelo base TVP-VAR,2.8181263612679444,0.11393198668934827,0.2520246348694625,0.8476794932016715,4.44469015384464,2.17,4.22,4,0.4446901538446397,TRUE
2019-11-01,B0,Modelo base TVP-VAR,2.8054851946225527,0.11282249470872369,0.2520246348694625,0.8491628201029939,4.417023562783227,2.92,4.25,4,0.4170235627832266,TRUE
2019-12-01,B0,Modelo base TVP-VAR,2.778978310770869,0.11145457099863001,0.2520246348694625,0.8509916553479286,4.365887707660617,3.41,4.1,4,0.36588770766061707,TRUE
2020-01-01,B0,Modelo base TVP-VAR,2.7601637741719744,0.11027957094937883,0.2520246348694625,0.8525625627655093,4.32833931062098,1.78,4.11,4,0.3283393106209802,TRUE
2020-02-01,B0,Modelo base TVP-VAR,2.747410826897241,0.10928210617219208,0.2520246348694625,0.8538961157455767,4.301612375521287,1.24,3.85,4,0.3016123755212874,TRUE
2020-03-01,B0,Modelo base TVP-VAR,2.7476689378460097,0.1084835604485939,0.2520246348694625,0.8549637254033611,4.296644488216053,1.77,3.99,4,0.29664448821605305,TRUE
2020-04-01,B0,Modelo base TVP-VAR,2.7339217466224053,0.10753585281690688,0.2520246348694625,0.856230755944563,4.268821167429115,1.88,3.97,4,0.268821167429115,TRUE
2020-05-01,B0,Modelo base TVP-VAR,2.7160843296238197,0.10652596323923398,0.2520246348694625,0.8575809201675473,4.234292403446769,1.8,3.96,4,0.23429240344676927,TRUE
2020-06-01,B0,Modelo base TVP-VAR,2.6938564944104586,0.1054451799845308,0.2520246348694625,0.85902586515516,4.192575783499284,2.39,3.77,4,0.19257578349928384,TRUE
2020-07-01,B0,Modelo base TVP-VAR,2.68300217558013,0.1045402340370412,0.25202463486946247,0.8602357257865081,4.169809893688052,2.88,3.9,4,0.16980989368805233,TRUE
2020-08-01,B0,Modelo base TVP-VAR,2.6704150965773414,0.10359971839631266,0.25202463486946247,0.861493141049863,4.144189976935556,4.19,3.92,4,0.14418997693555635,TRUE
2020-09-01,B0,Modelo base TVP-VAR,2.6610542827404293,0.10273900889609787,0.2520246348694625,0.8626438600980291,4.124154283974607,4.97,3.99,4,0.12415428397460726,TRUE
2020-10-01,B0,Modelo base TVP-VAR,2.66080521632895,0.10220621301722242,0.2520246348694625,0.8633561775134329,4.120365935135364,5.34,4.15,4,0.12036593513536431,TRUE
