codigo_modelo,fecha,lambda_t,lambda_li_95,lambda_ls_95,pi_estrella_t,c0_t,c_t,d_t
M2,2021-07-01,0.8682801838555532,0.8139393786060563,0.9226209891050501,4.136849991553342,2.686672760977967,0.09852268194563851,0.25202839762852064
M2,2021-08-01,0.8688183490478879,0.814252698568932,0.9233839995268438,4.13975190159218,2.6902237866594594,0.09812014964844272,0.25202839775006713
M2,2021-09-01,0.869520002281873,0.8148281282439068,0.9242118763198391,4.136139983566884,2.6900472916912017,0.09759533295104078,0.25202839777884006
M2,2021-10-01,0.870701084105804,0.8159843614667,0.9254178067449081,4.112546785226569,2.678335924554272,0.09671191732042102,0.25202839751913
M2,2021-11-01,0.871016201779529,0.8163223143947674,0.9257100891642905,4.124627040756037,2.6871754777901478,0.09647621821527859,0.25202839778083985
M2,2021-12-01,0.8717704264095201,0.8172583954211878,0.9262824573978523,4.1148001613689305,2.68309462900322,0.09591207961572533,0.2520283977389281
M2,2022-01-01,0.8726309107801062,0.8184537774583058,0.9268080441019066,4.099584125056565,2.6758114336774668,0.09526846175772871,0.25202839761808754
M2,2022-02-01,0.8738811107576847,0.8201869437897675,0.9275752777256019,4.065661691942284,2.6574720139242376,0.09433334772630435,0.2520283972287497
M2,2022-03-01,0.8750004108190984,0.8219752039060549,0.9280256177321419,4.0385089638479,2.6431050116695785,0.09349614310178529,0.2520283969375607
M2,2022-04-01,0.875737536194466,0.823602337006384,0.9278727353825481,4.030228555720756,2.639907749720159,0.09294479425642922,0.2520283969108781
M2,2022-05-01,0.8762542829691305,0.825159540915578,0.9273490250226831,4.029996487186485,2.641313379983229,0.09255828233321882,0.25202839698985807
M2,2022-06-01,0.8764905166191991,0.8266200496304875,0.9263609836079106,4.039120720044594,2.6480072197390605,0.09238158624599158,0.25202839719470516
M2,2022-07-01,0.876479696618651,0.8279201519205788,0.9250392413167232,4.055020591443563,2.6583981981492544,0.09238967926277855,0.25202839748911277
M2,2022-08-01,0.8774013539639791,0.8299486675316287,0.9248540403963296,4.0502033970403986,2.658032235471008,0.0917003057382753,0.25202839751319356
M2,2022-09-01,0.8782125968553974,0.8315601706071851,0.9248650231036097,4.047656111623585,2.6588165886444326,0.09109351908602555,0.2520283975686145
M2,2022-10-01,0.8789870677935452,0.8328365157238128,0.9251376198632776,4.045831943554297,2.6599620110938056,0.09051423680947496,0.25202839763395996
M2,2022-11-01,0.8800872181289935,0.8342359485550649,0.9259384877029221,4.037742609921017,2.6579662017143044,0.0896913556028804,0.25202839761182555
M2,2022-12-01,0.8822655340895457,0.8363438573068256,0.9281872108722657,4.010079155678356,2.6462895933457604,0.08806203715811868,0.2520283973165827
M2,2023-01-01,0.8849418725708942,0.8388274922211822,0.9310562529206061,3.973164454522116,2.6298828111267114,0.08606021202465249,0.25202839688418055
M2,2023-02-01,0.8877032120806061,0.8412546796246109,0.9341517445366013,3.9348887375584085,2.612674812783644,0.08399480853594365,0.25202839642898145
M2,2023-03-01,0.8893206379188996,0.8421657471147309,0.9364755287230683,3.9173197796928316,2.605748561837969,0.08278501995663905,0.2520283962607387
M2,2023-04-01,0.8894465220282216,0.8409915518428708,0.9379014922135724,3.926038470189371,2.61191778403767,0.08269086219683529,0.25202839644769726
M2,2023-05-01,0.8889751534916527,0.8389596872303215,0.9389906197529838,3.9463800202989994,2.62405924804894,0.08304343243849507,0.2520283967944821
