fecha_inicio,fecha_fin,ventana,n_obs,alpha,alpha_se_hac,alpha_p_value,rho,rho_se_hac,rho_p_value,rho_estable,beta_corto_plazo,beta_se_hac,beta_t_hac,beta_p_value,beta_ic_inf,beta_ic_sup,gamma_tc,gamma_se_hac,gamma_p_value,beta_largo_plazo,beta_largo_plazo_se,beta_largo_plazo_ic_inf,beta_largo_plazo_ic_sup,r_squared,adj_r_squared
2017-07-01,2020-06-01,36,36,0.21899356610212448,NA,NA,0.47715381480483754,NA,NA,NA,0.11252313213582256,0.01488725319007149,7.5583541637396054,1.311515976873496e-8,0.08334465205455342,0.1417016122170917,-0.00750550197569395,0.0035748408280174074,0.043744348229162164,0.21521268648794123,0.023806901882366824,0.16855201621502344,0.261873356760859,0.8398820090105663,0.8248709473553069
2017-08-01,2020-07-01,36,36,0.20334864542772527,NA,NA,0.5048732259936967,NA,NA,NA,0.10861894559847314,0.015343997223958085,7.078921092925887,4.9813678460487174e-8,0.07854526366063273,0.13869262753631356,-0.005667449232724561,0.0037886494305586953,0.14447737901814103,0.21937602913206697,0.02165575595725954,0.17693152739784956,0.2618205308662844,0.8545983688102347,0.8409669658861941
2017-09-01,2020-08-01,36,36,0.19910580495449437,NA,NA,0.5244255309120474,NA,NA,NA,0.11071641770906256,0.01733141971818766,6.388190898918472,3.5448889769949645e-7,0.07674745926046742,0.1446853761576577,-0.007090292761178604,0.004900613563451537,0.1576735837121764,0.23280563803475893,0.026758712296950714,0.18035952566006647,0.2852517504094514,0.8615937138846218,0.8486181245613051
2017-10-01,2020-09-01,36,36,0.15014873665201586,NA,NA,0.5949607828189978,NA,NA,NA,0.09237473830748408,0.018195670172468634,5.0767428422204395,1.5897476698979187e-5,0.05671188009487585,0.1280375965200923,-7.565574084397606e-4,0.004183605388213409,0.8576347409865452,0.22806368961108286,0.027911083163365814,0.1733589718413836,0.2827684073807821,0.8623660068979729,0.8494628200446579
2017-11-01,2020-10-01,36,36,0.13671251291496853,NA,NA,0.6428877520910474,NA,NA,NA,0.08647841545214303,0.01656452294232741,5.220700635522941,1.0456460774508986e-5,0.05401254706409388,0.11894428384019219,-0.0026655204831010316,0.004189539259807963,0.5291498079992734,0.24216031782307032,0.03237459989801147,0.17870726800907374,0.3056133676370669,0.8632530855945384,0.8504330623690264
2017-12-01,2020-11-01,36,36,0.12380781196510492,NA,NA,0.6419586267234431,NA,NA,NA,0.08131936624611134,0.015815935702973655,5.14160956223551,1.316333782414605e-5,0.05032070188648181,0.11231803060574089,8.792271574843093e-4,0.003979453490209614,0.826541564038086,0.22712281963933523,0.030073114716652347,0.16818059789175516,0.2860650413869153,0.862038168881243,0.8491042472138595
2018-01-01,2020-12-01,36,36,0.1116224815675849,NA,NA,0.6615981221083234,NA,NA,NA,0.07430817734159258,0.016886518074231957,4.4004440118998485,1.123476989526326e-4,0.04121121009181328,0.10740514459137188,0.001053776704744015,0.004779960822063822,0.8269156249977818,0.21958559392326665,0.03475222783901272,0.15147247897627153,0.2876987088702618,0.8445285539114166,0.8299531058406119
2018-02-01,2021-01-01,36,36,0.0887309452978947,NA,NA,0.6607454115813441,NA,NA,NA,0.06168445453051788,0.018260255645832536,3.378071793019824,0.0019329731560220858,0.025895011116191934,0.09747389794484382,0.006137660079060859,0.005606852748566908,0.28183210082074334,0.18182349373089807,0.04109777724294086,0.10127333049008416,0.262373656971712,0.810830889304829,0.7930962851771568
2018-03-01,2021-02-01,36,36,0.10234900351069794,NA,NA,0.6539200310217104,NA,NA,NA,0.06860226862688398,0.01645465320015637,4.169171345782726,2.1723448641954433e-4,0.03635174097648076,0.10085279627728722,0.0035929781499118257,0.007443670526512097,0.6326023223718027,0.19822663770288176,0.04951541931547601,0.10117819916514986,0.29527507624061367,0.7924461524710319,0.7729879792651911
2018-04-01,2021-03-01,36,36,0.08926285842263056,NA,NA,0.59386634400674565,NA,NA,NA,0.06006959844898873,0.014484788867931864,4.147081396676613,2.3127105794611738e-4,0.03167993394417558,0.08845926295380188,0.012385885693148803,0.007115322619508333,0.0913392131295305,0.14790598504347163,0.03876500666018354,0.0719279681290566,0.22388400195788666,0.7801014738667631,0.7594859870417722
