date,inflation,exp12,exp24,target,beta,credibility,anchor
2019-07,4.37,4.57,4.6,4,0.15785563021422297,0.8443410290856321,4.4546935810419654
2019-08,3.01,4.6,4.53,4,0.1509767061806921,0.845260099991449,4.4590168298298
2019-09,1.8,4.33,4.34,4,0.14891141165948046,0.8464130076554421,4.454737147188449
2019-10,2.17,4.18,4.22,4,0.13366803270788663,0.8476794932016715,4.44469015384464
2019-11,2.92,4.05,4.25,4,0.12219490725839235,0.8491628201029939,4.417023562783227
2019-12,3.41,3.89,4.1,4,0.12384441014849992,0.8509916553479286,4.365887707660617
2020-01,1.78,4.07,4.11,4,0.1184849193846797,0.8525625627655093,4.32833931062098
2020-02,1.24,3.92,3.85,4,0.12753228461750316,0.8538961157455767,4.301612375521287
2020-03,1.77,3.86,3.99,4,0.11522256774599342,0.8549637254033611,4.296644488216053
2020-04,1.88,3.55,3.97,4,0.10514211805826904,0.856230755944563,4.268821167429115
2020-05,1.8,3.78,3.96,4,0.09952174489280305,0.8575809201675473,4.234292403446769
2020-06,2.39,3.5,3.77,4,0.10236868926834619,0.85902586515516,4.192575783499284
2020-07,2.88,3.49,3.9,4,0.10061602251990931,0.8602357257865081,4.169809893688052
2020-08,4.19,3.61,3.92,4,0.10034812146159089,0.861493141049863,4.144189976935556
2020-09,4.97,3.81,3.99,4,0.09772568683660439,0.8626438600980291,4.124154283974607
2020-10,5.34,4.19,4.15,4,0.09339502600492591,0.8633561775134329,4.120365935135364
2020-11,5.46,4.49,4.27,4,0.09086601605994765,0.8639269740814354,4.121095629034645
2020-12,4.82,4.49,4.26,4,0.08510186531484376,0.8646074370033194,4.118536076336363
2021-01,5.24,4.33,4.12,4,0.08071817624841243,0.8650799973736246,4.1220944174399765
2021-02,6,4.56,4.39,4,0.08195948215837895,0.8649478278679308,4.145421425063273
2021-03,5.84,4.6,4.34,4,0.07842262892305528,0.8656761388455654,4.142526160010147
2021-04,5.2,4.54,4.39,4,0.07471112047125479,0.8660429547203771,4.149463370544791
2021-05,5.17,4.54,4.41,4,0.07445477731146394,0.8665677483972536,4.15200254899173
2021-06,3.91,4.28,4.23,4,0.06885333395409175,0.8676606693492839,4.137157848384147
2021-07,3.82,4.3,4.12,4,0.06846066734240422,0.8682810276797877,4.1368505419739945
2021-08,3.62,4.22,4.14,4,0.06803412011994586,0.8688191847836477,4.13975231284274
2021-09,3.67,4.21,4.2,4,0.06829917203619343,0.869520848979385,4.13614024421831
2021-10,2.96,4.22,3.89,4,0.068373804187417,0.8707020016864722,4.11254670731697
