fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,exp12_lag1,shock_inf,dummy_sep2012,beta_t,se_beta_t,beta_li_95,beta_ls_95,indice_anclaje,beta_constante,beta_constante_li_95,beta_constante_ls_95,diferencia_tvp_menos_constante,residuo_estandarizado_constante,residuo_estandarizado_tvp
2012-10-01,4.7,4.76,3.35,-0.41000000000000014,0.6200000000000001,4.91,-1.56,0,0.12857120889126325,0.026224938345400104,0.07717127423749562,0.17997114354503088,-0.12857120889126325,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.0876762114131647,-0.15453603386377449,-0.15373744568399303
2012-11-01,4.48,4.82,3.11,0.0600000000000005,-0.41000000000000014,4.7,-1.5900000000000003,0,0.127085174688445,0.026354702238794738,0.07543090747713019,0.1787394418997598,-0.127085174688445,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.08619017721034644,1.1174372890449438,1.1844039707549403
2012-12-01,4.65,4.93,3.45,0.10999999999999943,0.0600000000000005,4.48,-1.0300000000000002,0,0.12598640198660682,0.026549760203879322,0.07394982818882856,0.17802297578438508,-0.12598640198660682,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.08509140450850827,1.5658565842292038,1.6483581230758682
2013-01-01,4.53,4.83,3.86,-0.09999999999999964,0.10999999999999943,4.65,-0.7900000000000005,0,0.1253575229923591,0.026751439166113555,0.07292566569216233,0.1777893802925559,-0.1253575229923591,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.08446252551426056,0.19500564160654896,0.1911945345189322
2013-02-01,4.41,4.61,4.18,-0.21999999999999975,-0.09999999999999964,4.53,-0.35000000000000053,0,0.12475142013515843,0.026941293299413232,0.07194745557137822,0.17755538469893864,-0.12475142013515843,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.08385642265705986,-1.1134620316559323,-1.1894671177436873
2013-03-01,4.59,4.66,4.34,0.04999999999999982,-0.21999999999999975,4.41,-0.07000000000000028,0,0.12399969296006161,0.0270973357829079,0.07088989074857367,0.17710949517154956,-0.12399969296006161,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.08310469548196306,0.09200809175095939,0.09663610192024384
2013-04-01,4.85,4.93,4.13,0.2699999999999996,0.04999999999999982,4.59,-0.45999999999999996,0,0.12324534599205123,0.027216936291001012,0.06990113109216808,0.17658956089193437,-0.12324534599205123,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.08235034851395268,1.9902818325482923,2.1046896944297586
2013-05-01,4.71,4.83,4.27,-0.09999999999999964,0.2699999999999996,4.85,-0.5800000000000001,0,0.12277385090085952,0.027308113702486064,0.06925093155826209,0.17629677024345694,-0.12277385090085952,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.08187885342276097,0.19184363752952865,0.18967530130715485
2013-06-01,4.87,5.21,4.79,0.3799999999999999,-0.09999999999999964,4.71,0.08000000000000007,0,0.1223389101052291,0.02737809854626279,0.06867882298936563,0.17599899722109258,-0.1223389101052291,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.08144391262713055,1.9072820352482753,2.029020675622998
2013-07-01,4.88,4.81,4.74,-0.40000000000000036,0.3799999999999999,4.87,-0.1299999999999999,0,0.12185470895288689,0.027414406646982553,0.06812345926726562,0.17558595863850815,-0.12185470895288689,0.040894997478098556,0.022628970478802326,0.05916102447739478,0.08095971147478834,-1.7281332549246946,-1.8354278648683786
