fecha,direccion_rolling_36,direccion_rolling_lp_36,direccion_tvp_base,coincide_rolling36_tvp,coincide_rolling_lp_tvp
2024-05-01,Aumento de sensibilidad,Reducción de sensibilidad,Aumento de sensibilidad,TRUE,FALSE
2024-06-01,Reducción de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,FALSE,TRUE
2024-07-01,Reducción de sensibilidad,Reducción de sensibilidad,Aumento de sensibilidad,FALSE,FALSE
2024-08-01,Aumento de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,TRUE,TRUE
2024-09-01,Aumento de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,TRUE,TRUE
2024-10-01,Reducción de sensibilidad,Reducción de sensibilidad,Aumento de sensibilidad,FALSE,FALSE
2024-11-01,Aumento de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,TRUE,TRUE
2024-12-01,Aumento de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,FALSE,TRUE
2025-01-01,Aumento de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,TRUE,TRUE
2025-02-01,Reducción de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,TRUE,FALSE
2025-03-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2025-04-01,Reducción de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,TRUE,FALSE
2025-05-01,Reducción de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,TRUE,FALSE
2025-06-01,Reducción de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,TRUE,FALSE
2025-07-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2025-08-01,Reducción de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,TRUE,FALSE
2025-09-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2025-10-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2025-11-01,Reducción de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,TRUE,TRUE
2025-12-01,Aumento de sensibilidad,Reducción de sensibilidad,Reducción de sensibilidad,FALSE,TRUE
2026-01-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2026-02-01,Aumento de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,TRUE,TRUE
2026-03-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2026-04-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2026-05-01,Aumento de sensibilidad,Aumento de sensibilidad,Reducción de sensibilidad,FALSE,FALSE
2026-06-01,Aumento de sensibilidad,Aumento de sensibilidad,Aumento de sensibilidad,TRUE,TRUE
