fecha,exp_inf_12m,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,error_pronostico_12m_t,inflacion_realizada_t_1,expectativa_12m_correspondiente_t_13,sorpresa_inflacionaria,alpha,se_alpha,alpha_li_95,alpha_ls_95,rho,se_rho,rho_li_95,rho_ls_95,beta_t,se_beta_t,beta_li_95,beta_ls_95,sensibilidad_absoluta_t,beta_significativamente_positivo,beta_significativamente_negativo,beta_no_distinto_cero,sensibilidad_baja_descriptiva,ajustado_constante,ajustado_tvp,residuo_tvp,residuo_estandarizado
2012-11-01,4.48,4.82,3.11,0.0600000000000005,-0.41000000000000014,-3.7399999999999998,3.35,6.69,-3.3400000000000003,-0.0076289041766901,0.014147265757679712,-0.03535703554145909,0.02009922718807889,-0.2690252463611187,0.07173708750344523,-0.4096273542236697,-0.12842313849856768,0.024267448794138897,0.011318956382475022,0.002082701941908082,0.04645219564636971,0.024267448794138897,TRUE,FALSE,FALSE,TRUE,0.04279724453424735,0.021618167858944673,0.038381832141055824,0.5598122485888571
2012-12-01,4.65,4.93,3.45,0.10999999999999943,0.0600000000000005,-2.49,3.11,6.85,-3.7399999999999998,-0.007628904176690098,0.014147265757679713,-0.03535703554145909,0.020099227188078893,-0.26902524636111874,0.0717370875034452,-0.4096273542236697,-0.12842313849856782,0.024202951557579087,0.011283489219593237,0.0020877190672303862,0.046318184047927785,0.024202951557579087,TRUE,FALSE,FALSE,TRUE,-0.08797626630297392,-0.11428945778370314,0.22428945778370257,1.5232634099528704
2013-01-01,4.53,4.83,3.86,-0.09999999999999964,0.10999999999999943,-2.11,3.45,5.94,-2.49,-0.007628904176690094,0.014147265757679694,-0.035357035541459046,0.020099227188078862,-0.26902524636111874,0.0717370875034452,-0.4096273542236697,-0.12842313849856782,0.024188231980519174,0.011256029082825632,0.002126820369245521,0.04624964359179283,0.024188231980519174,TRUE,FALSE,FALSE,TRUE,-0.08025647371711664,-0.09745037890790575,-0.00254962109209389,0.17167046592236856
2013-02-01,4.41,4.61,4.18,-0.21999999999999975,-0.09999999999999964,-1.8200000000000003,3.86,5.97,-2.11,-0.007628904176690091,0.014147265757679698,-0.03535703554145905,0.02009922718807887,-0.26902524636111874,0.07173708750344521,-0.4096273542236697,-0.1284231384985678,0.024173135674505294,0.011231613819469303,0.002159577100083108,0.046186694248927476,0.024173135674505294,TRUE,FALSE,FALSE,TRUE,-0.01845723803102664,-0.03173169581378448,-0.18826830418621526,-0.8458101407216078
2013-03-01,4.59,4.66,4.34,0.04999999999999982,-0.21999999999999975,-1.25,4.18,6,-1.8200000000000003,-0.0076289041766900885,0.014147265757679682,-0.03535703554145902,0.02009922718807884,-0.26902524636111874,0.07173708750344521,-0.4096273542236697,-0.1284231384985678,0.024134466432582248,0.011208874123041838,0.0021654768441772693,0.04610345602098723,0.024134466432582248,TRUE,FALSE,FALSE,TRUE,0.01807593105218992,0.007631921115456276,0.042368078884543546,0.4073509719755611
2013-04-01,4.85,4.93,4.13,0.2699999999999996,0.04999999999999982,-1.71,4.34,5.59,-1.25,-0.007628904176690088,0.014147265757679687,-0.035357035541459025,0.020099227188078852,-0.26902524636111874,0.0717370875034452,-0.4096273542236697,-0.12842313849856782,0.02410037296047774,0.011186992394230466,0.0021742707724625235,0.04602647514849296,0.02410037296047774,TRUE,FALSE,FALSE,TRUE,-0.043664225022999555,-0.05120563269534315,0.32120563269534275,1.9167060261354887
2013-05-01,4.71,4.83,4.27,-0.09999999999999964,0.2699999999999996,-0.9900000000000002,4.13,5.84,-1.71,-0.007628904176690086,0.014147265757679692,-0.03535703554145904,0.020099227188078866,-0.26902524636111874,0.07173708750344521,-0.4096273542236697,-0.1284231384985678,0.024090105270983313,0.01116516041926638,0.0022067929676090822,0.04597341757435754,0.024090105270983313,TRUE,FALSE,FALSE,TRUE,-0.10944230508719498,-0.1214598007075735,0.02145980070757386,0.24156646459639863
2013-06-01,4.87,5.21,4.79,0.3799999999999999,-0.09999999999999964,-0.09999999999999964,4.27,5.26,-0.9900000000000002,-0.0076289041766900885,0.0141472657576797,-0.03535703554145905,0.020099227188078876,-0.2690252463611188,0.07173708750344521,-0.40962735422366975,-0.12842313849856785,0.024082015169938256,0.011144397160667084,0.002239398105620339,0.04592463223425618,0.024082015169938256,TRUE,FALSE,FALSE,TRUE,2.8682028021535105e-4,-0.004567574558817181,0.38456757455881707,2.1631018888496367
2013-07-01,4.88,4.81,4.74,-0.40000000000000036,0.3799999999999999,0.03000000000000025,4.79,4.89,-0.09999999999999964,-0.007628904176690087,0.014147265757679701,-0.03535703554145905,0.020099227188078883,-0.26902524636111885,0.07173708750344521,-0.4096273542236698,-0.1284231384985679,0.024096517442806203,0.011123248278584215,0.0022953514256839926,0.04589768345992841,0.024096517442806203,TRUE,FALSE,FALSE,TRUE,-0.11153753503653809,-0.11226814953819583,-0.2877318504618045,-1.4004353582741533
2013-08-01,4.85,4.89,4.42,0.08000000000000007,-0.40000000000000036,-0.020000000000000462,4.74,4.71,0.03000000000000025,-0.007628904176690086,0.014147265757679708,-0.03535703554145907,0.020099227188078897,-0.26902524636111874,0.0717370875034452,-0.4096273542236697,-0.12842313849856782,0.024109312289447137,0.011101321104046592,0.0023511227447013915,0.045867501834192886,0.024109312289447137,TRUE,FALSE,FALSE,TRUE,0.09655679406130725,0.10070447373644092,-0.020704473736440854,-0.09962361937811211
2013-09-01,4.84,4.91,4.21,0.020000000000000462,0.08000000000000007,-0.7000000000000002,4.42,4.44,-0.020000000000000462,-0.007628904176690087,0.014147265757679712,-0.035357035541459074,0.020099227188078904,-0.2690252463611188,0.07173708750344521,-0.40962735422366975,-0.12842313849856785,0.024122143994741108,0.011078617055204893,0.0024084535680283306,0.045835834421453885,0.024122143994741108,TRUE,FALSE,FALSE,TRUE,-0.030999181623810275,-0.029633366765474446,0.049633366765474904,0.41173208689965324
2013-10-01,4.72,4.71,4.15,-0.20000000000000018,0.020000000000000462,-0.5499999999999998,4.21,4.91,-0.7000000000000002,-0.007628904176690089,0.014147265757679703,-0.03535703554145906,0.020099227188078883,-0.26902524636111874,0.07173708750344521,-0.4096273542236697,-0.1284231384985678,0.024135034605791954,0.011055115166677955,0.0024674070341606513,0.04580266217742326,0.024135034605791954,TRUE,FALSE,FALSE,TRUE,-0.026539604320393755,-0.02990393332796696,-0.17009606667203322,-0.8154064362619768
2013-11-01,4.69,4.7,4.63,-0.009999999999999787,-0.20000000000000018,0.14999999999999947,4.15,4.7,-0.5499999999999998,-0.007628904176690088,0.014147265757679708,-0.03535703554145907,0.020099227188078893,-0.2690252463611188,0.07173708750344521,-0.40962735422366975,-0.12842313849856785,0.024140859661207693,0.011031000548595727,0.002520495872518496,0.04576122344989689,0.024140859661207693,TRUE,FALSE,FALSE,TRUE,0.03405038817551172,0.0328986722818695,-0.042898672281869284,-0.1642172874554511
2013-12-01,5.09,5.19,4.39,0.4900000000000002,-0.009999999999999787,-0.2600000000000007,4.63,4.48,0.14999999999999947,-0.007628904176690087,0.014147265757679701,-0.03535703554145905,0.020099227188078883,-0.26902524636111874,0.07173708750344522,-0.4096273542236697,-0.12842313849856776,0.024145284611806313,0.011006105552141099,0.0025737141195634403,0.04571685510404919,0.024145284611806313,TRUE,FALSE,FALSE,TRUE,-0.004394253712990765,-0.0013168590213080223,0.49131685902130823,2.76725541430796
2014-01-01,4.73,4.94,4.14,-0.25,0.4900000000000002,-0.39000000000000057,4.39,4.65,-0.2600000000000007,-0.007628904176690083,0.014147265757679712,-0.035357035541459074,0.020099227188078904,-0.26902524636111874,0.0717370875034452,-0.4096273542236697,-0.12842313849856782,0.024145336285917543,0.010980444727952978,0.002624060084897,0.04566661248693808,0.024145336285917543,TRUE,FALSE,FALSE,TRUE,-0.14325507142418334,-0.1457290623279769,-0.10427093767202311,-0.37976185920431177
2014-02-01,4.56,4.68,3.5,-0.2600000000000007,-0.25,-0.9100000000000001,4.14,4.53,-0.39000000000000057,-0.007628904176690084,0.014147265757679713,-0.035357035541459074,0.020099227188078907,-0.2690252463611188,0.07173708750344521,-0.40962735422366975,-0.12842313849856785,0.024143779202336957,0.010954028790771867,0.002674277286809263,0.045613281117864654,0.024143779202336957,TRUE,FALSE,FALSE,TRUE,0.04992802614220038,0.05021133352467819,-0.3102113335246789,-1.674731193834167
2014-03-01,4.46,4.54,3.25,-0.13999999999999968,-0.2600000000000007,-1.3399999999999999,3.5,4.41,-0.9100000000000001,-0.007628904176690081,0.014147265757679706,-0.03535703554145906,0.020099227188078897,-0.26902524636111874,0.07173708750344522,-0.4096273542236697,-0.12842313849856776,0.024135042915039054,0.010926754437822192,0.002718997748994357,0.045551088081083754,0.024135042915039054,TRUE,FALSE,FALSE,TRUE,0.0438654107107119,0.04035477082451544,-0.18035477082451512,-0.9211203655575178
