fecha,exp_inf_24m,infl_gt,d_exp24,d_exp24_lag1,error_pronostico_24m_t,inflacion_realizada_t_1,expectativa_24m_correspondiente_t_25,error_pronostico_24m_alineado,alpha,se_alpha,alpha_li_95,alpha_ls_95,rho,se_rho,rho_li_95,rho_ls_95,beta_t,se_beta_t,beta_li_95,beta_ls_95,sensibilidad_absoluta_t,beta_significativamente_positivo,beta_significativamente_negativo,beta_no_distinto_cero,sensibilidad_baja_descriptiva,ajustado_constante,ajustado_tvp,residuo_tvp,residuo_estandarizado
2022-01-01,4.09,2.87,0.07000000000000028,-0.0600000000000005,-1.2400000000000002,3.07,4.1,-1.0299999999999998,-0.008158289610453874,0.01363203211289541,-0.03487658158782233,0.01856000236691458,-0.2836632946029859,0.07453428751690501,-0.429747813749473,-0.13757877545649877,0.01557316561358869,0.006649699961289217,0.0025399931814644363,0.028606338045712942,0.01557316561358869,TRUE,FALSE,FALSE,TRUE,-0.007197858054362261,-0.007178852516270925,0.07717885251627121,0.4255432921917517
2022-02-01,3.92,2.98,-0.16999999999999993,0.07000000000000028,-0.8700000000000001,2.87,4.11,-1.2400000000000002,-0.008158289610453876,0.013632032112895409,-0.03487658158782233,0.018560002366914574,-0.2836632946029859,0.07453428751690501,-0.429747813749473,-0.13757877545649877,0.015572471491668727,0.0066495412758182885,0.0025396100773523635,0.02860533290598509,0.015572471491668727,TRUE,FALSE,FALSE,TRUE,-0.04733983149019526,-0.047324584882332196,-0.12267541511766773,-0.6744306664833061
2022-03-01,3.8,4.17,-0.1200000000000001,-0.16999999999999993,0.17999999999999972,2.98,3.85,-0.8700000000000001,-0.008158289610453878,0.01363203211289541,-0.034876581587822336,0.018560002366914578,-0.2836632946029859,0.07453428751690501,-0.429747813749473,-0.13757877545649877,0.01557173928815097,0.0066493840901191,0.0025391859521438995,0.02860429262415804,0.01557173928815097,TRUE,FALSE,FALSE,TRUE,0.026492877893502,0.02651705729136236,-0.14651705729136247,-0.9358847246528312
2022-04-01,3.94,4.62,0.14000000000000012,-0.1200000000000001,0.6499999999999999,4.17,3.99,0.17999999999999972,-0.008158289610453876,0.013632032112895409,-0.03487658158782233,0.018560002366914574,-0.28366329460298595,0.07453428751690501,-0.4297478137494731,-0.13757877545649883,0.015570975173415215,0.006649226689762131,0.0025387303364389577,0.02860322001039147,0.015570975173415215,TRUE,FALSE,FALSE,TRUE,0.028664849627969793,0.028684081273119204,0.11131591872688092,0.49291880863147697
2022-05-01,4.01,5.82,0.06999999999999984,0.14000000000000012,1.8600000000000003,4.62,3.97,0.6499999999999999,-0.008158289610453878,0.01363203211289541,-0.034876581587822336,0.018560002366914578,-0.2836632946029859,0.07453428751690501,-0.429747813749473,-0.13757877545649877,0.015570206042584836,0.006649069561499335,0.0025382691713446114,0.02860214291382506,0.015570206042584836,TRUE,FALSE,FALSE,TRUE,-0.03775777106973338,-0.03775051692719179,0.10775051692719163,0.5125338634657285
2022-06-01,4.16,7.55,0.15000000000000036,0.06999999999999984,3.78,5.82,3.96,1.8600000000000003,-0.008158289610453878,0.013632032112895409,-0.03487658158782233,0.018560002366914574,-0.28366329460298595,0.07453428751690501,-0.4297478137494731,-0.13757877545649883,0.015569419378252765,0.0066489134647004155,0.0025377884511165252,0.028601050305389005,0.015569419378252765,TRUE,FALSE,FALSE,TRUE,9.411922618088285e-4,9.443998108873003e-4,0.14905560018911307,0.5848154645729016
2022-07-01,4.51,8.36,0.34999999999999964,0.15000000000000036,4.459999999999999,7.55,3.77,3.78,-0.008158289610453878,0.013632032112895407,-0.03487658158782232,0.01856000236691457,-0.28366329460298595,0.07453428751690501,-0.4297478137494731,-0.13757877545649883,0.01556856330789409,0.006648764598996942,0.0025372241521751902,0.028599902463612988,0.01556856330789409,TRUE,FALSE,FALSE,TRUE,0.008154232746789628,0.00814138550293779,0.34185861449706184,1.4459252792296202
2022-08-01,4.55,8.87,0.040000000000000036,0.34999999999999964,4.949999999999999,8.36,3.9,4.459999999999999,-0.008158289610453878,0.013632032112895407,-0.03487658158782232,0.01856000236691457,-0.28366329460298595,0.07453428751690501,-0.4297478137494731,-0.13757877545649883,0.01556738373754768,0.006648641517287655,0.0025362858175461394,0.02859848165754922,0.01556738373754768,TRUE,FALSE,FALSE,TRUE,-0.03798020405955013,-0.03800991125203622,0.07800991125203625,-0.18013647543824748
2022-09-01,4.61,9.03,0.0600000000000005,0.040000000000000036,5.039999999999999,8.87,3.92,4.949999999999999,-0.008158289610453874,0.013632032112895409,-0.03487658158782232,0.018560002366914578,-0.283663294602986,0.07453428751690501,-0.42974781374947313,-0.13757877545649888,0.015566117066714307,0.006648550849407114,0.002535196852493182,0.028597037280935433,0.015566117066714307,TRUE,FALSE,FALSE,TRUE,0.05757523772353286,0.05754745808566249,0.0024525419143380106,-0.7480068092590874
2022-10-01,4.67,9.7,0.05999999999999961,0.0600000000000005,5.549999999999999,9.03,3.99,5.039999999999999,-0.008158289610453878,0.013632032112895409,-0.03487658158782233,0.018560002366914574,-0.283663294602986,0.07453428751690501,-0.42974781374947313,-0.13757877545649888,0.015564847356692845,0.006648505468625155,0.00253401608716995,0.02859567862621574,0.015564847356692845,TRUE,FALSE,FALSE,TRUE,0.05330443356630004,0.053268743391098744,0.006731256608900865,-0.6440193562937623
