indice_modelo,fecha,residuo_estandarizado,abs_residuo,z_robusto,abs_z_robusto,p_bilateral_normal,umbral_bonferroni,criterio_clasico,criterio_robusto,criterio_bonferroni,candidato_formal,JB_sin_observacion,reduccion_JB_al_excluir,ranking
114,2019-10-01,0.908886358916537,0.908886358916537,1.5010865800454303,1.5010865800454303,0.36341011502922055,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.34204211541561,-0.49449378035865355,50
42,2013-10-01,-0.900546674179862,0.900546674179862,-0.8800388274397971,0.8800388274397971,0.3678293983930007,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.767146678636805,0.08040165642015129,51
79,2016-11-01,0.8889827947053117,0.8889827947053117,1.474894462638487,1.474894462638487,0.3740123265617949,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.322405992124245,-0.47485765706728866,52
125,2020-09-01,-0.8882682262537622,0.8882682262537622,-0.863880990268399,0.863880990268399,0.374396486814449,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.757680146271259,0.08986818878569736,53
117,2020-01-01,-0.8547911688813796,0.8547911688813796,-0.8198268194761197,0.8198268194761197,0.39266676802027656,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.732685141023564,0.11486319403339174,54
82,2017-02-01,0.8509607233792521,0.8509607233792521,1.424859275691133,1.424859275691133,0.39479117120031865,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.284477708177866,-0.4369293731209103,55
118,2020-02-01,-0.8295819147038074,0.8295819147038074,-0.7866526734712522,0.7866526734712522,0.40677520547986357,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.714673949772515,0.13287438528444095,56
66,2015-10-01,-0.8018714240946437,0.8018714240946437,-0.7501870226090879,0.7501870226090879,0.42262733754309806,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.695705947246776,0.15184238781017978,57
80,2016-12-01,0.8003604617791067,0.8003604617791067,1.358271805296982,1.358271805296982,0.4235019818157427,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.233420218198214,-0.38587188314125775,58
177,2025-01-01,-0.7646399041260286,0.7646399041260286,-0.7011921625976866,0.7011921625976866,0.44448600053651405,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.671632096959969,0.17591623809698742,59
33,2013-01-01,-0.7534838629993501,0.7534838629993501,-0.6865113578993073,0.6865113578993073,0.45115920473557314,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.664741217221973,0.18280711783498305,60
83,2017-03-01,-0.7443493303135588,0.7443493303135588,-0.6744907594765952,0.6744907594765952,0.456665164606038,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.659211592720555,0.18833674233640085,61
88,2017-08-01,-0.713550907578023,0.713550907578023,-0.6339615409066433,0.6339615409066433,0.47550492340573786,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.64132508108722,0.2062232539697364,62
168,2024-04-01,-0.7127075492571163,0.7127075492571163,-0.6328517225885326,0.6328517225885326,0.4760267440349998,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.640851896857589,0.20669643819936745,63
47,2014-03-01,-0.6981843342061674,0.6981843342061674,-0.6137398816286003,0.6137398816286003,0.48506192227218403,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.632843757344207,0.21470457771274898,64
134,2021-06-01,-0.6960450222996152,0.6960450222996152,-0.6109246517515873,0.6109246517515873,0.48640063479784257,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.631686654519563,0.21586168053739296,65
69,2016-01-01,0.6868475094326326,0.6868475094326326,1.2088943097130105,1.2088943097130105,0.4921788274592325,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.11839497331684,-0.27084663825988375,66
142,2022-02-01,-0.6863759201211009,0.6863759201211009,-0.5982005860118167,0.5982005860118167,0.49247608512469304,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.626529425907892,0.2210189091490644,67
59,2015-03-01,0.6799695625271688,0.6799695625271688,1.1998432678516222,1.1998432678516222,0.4965237336826404,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.11147167981965,-0.2639233447626941,68
137,2021-09-01,0.6791320020694274,0.6791320020694274,1.1987410792379767,1.1987410792379767,0.49705422704620655,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.110629313388785,-0.2630809783318284,69
187,2025-11-01,-0.6754278852029435,0.6754278852029435,-0.5837935073143254,0.5837935073143254,0.4994039540306928,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.620834200964654,0.226714134092302,70
87,2017-07-01,0.6712990661931967,0.6712990661931967,1.1884333185809388,1.1884333185809388,0.5020300294243947,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.102759415249487,-0.2552110801925309,71
186,2025-10-01,-0.6605278406504926,0.6605278406504926,-0.564185777153796,0.564185777153796,0.5089151584362308,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.6133309149302635,0.23421742012669267,72
147,2022-07-01,0.6526194153589765,0.6526194153589765,1.1638518113404084,1.1638518113404084,0.5140016656225233,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.084055637204821,-0.23650730214786453,73
181,2025-05-01,-0.6523765680903472,0.6523765680903472,-0.5534591009843632,0.5534591009843632,0.5141582765487865,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.609347857963002,0.23820047709395453,74
180,2025-04-01,-0.6420354422241414,0.6420354422241414,-0.5398506849271588,0.5398506849271588,0.520850170923145,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.604419419242278,0.24312891581467788,75
48,2014-04-01,0.6388431640178016,0.6388431640178016,1.1457229381031162,1.1457229381031162,0.5229249651470809,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.070326996173902,-0.222778661116946,76
36,2013-04-01,0.6165080396873889,0.6165080396873889,1.1163310064594905,1.1163310064594905,0.5375592673876484,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.048205297235261,-0.20065696217830453,77
115,2019-11-01,0.6091377019497883,0.6091377019497883,1.1066320023362402,1.1066320023362402,0.5424331692965534,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.0409462154927285,-0.19339788043577233,78
160,2023-08-01,0.5900806793681642,0.5900806793681642,1.081553892326016,1.081553892326016,0.5551365612160526,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.022280480744186,-0.17473214568722994,79
75,2016-07-01,0.5837161969987545,0.5837161969987545,1.0731785446905417,1.0731785446905417,0.5594112681934528,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.016082020722523,-0.16853368566556703,80
104,2018-12-01,0.5791607170035564,0.5791607170035564,1.0671837557365151,1.0671837557365151,0.5624807342949457,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.011656810466893,-0.1641084754099369,81
129,2021-01-01,-0.5783649429065741,0.5783649429065741,-0.45606342070722167,0.45606342070722167,0.5630177572126807,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.57719138159247,0.2703569534644865,82
133,2021-05-01,0.5667953893575234,0.5667953893575234,1.050911589101277,1.050911589101277,0.5708532034518925,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.999695020261261,-0.15214668520430497,83
31,2012-11-01,-0.556200047032675,0.556200047032675,-0.42689550138981525,0.42689550138981525,0.5780741070849691,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.568989925716011,0.27855840934094545,84
124,2020-08-01,-0.5541610750419556,0.5541610750419556,-0.42421231393637043,0.42421231393637043,0.5794686149311243,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.5682689984482066,0.2792793366087496,85
182,2025-06-01,-0.5525131814419454,0.5525131814419454,-0.4220437665250845,0.4220437665250845,0.5805968059101683,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.567690487780935,0.2798578472760216,86
153,2023-01-01,-0.5522941331943891,0.5522941331943891,-0.4217555097406769,0.4217555097406769,0.580746849486335,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.567613867448658,0.27993446760829777,87
81,2017-01-01,-0.5494161141419213,0.5494161141419213,-0.41796817737539405,0.41796817737539405,0.5827199179994764,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.566613254672726,0.2809350803842303,88
62,2015-06-01,-0.5471021765909554,0.5471021765909554,-0.4149231486878663,0.4149231486878663,0.5843085370020868,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.565816961531462,0.2817313735254938,89
32,2012-12-01,0.5332171088618969,0.5332171088618969,1.006724213627657,1.006724213627657,0.593883299562307,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.967609430681174,-0.12006109562421763,90
106,2019-02-01,-0.5298781761768663,0.5298781761768663,-0.3922572062327643,0.3922572062327643,0.5961963982907457,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.560120048954338,0.2874282861026183,91
71,2016-03-01,-0.5242210992051037,0.5242210992051037,-0.3848127695151962,0.3848127695151962,0.6001247673682963,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.558337800266468,0.2892105347904881,92
93,2018-01-01,-0.5153468829077525,0.5153468829077525,-0.3731347347326751,0.3731347347326751,0.6063106430715526,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.555630814317255,0.2919175207397009,93
179,2025-03-01,-0.5107266935181108,0.5107266935181108,-0.3670547913792349,0.3670547913792349,0.6095424464944541,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.554264496281727,0.29328383877522946,94
70,2016-02-01,0.5106017969880221,0.5106017969880221,0.9769635688753421,0.9769635688753421,0.6096299173183364,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.9463576216982075,-0.09880928664125133,95
92,2017-12-01,-0.5079797242850627,0.5079797242850627,-0.36343991416921845,0.36343991416921845,0.6114675625906945,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.553466127789761,0.2940822072671949,96
169,2024-05-01,-0.5056296245448071,0.5056296245448071,-0.36034729780857255,0.36034729780857255,0.6131166808507842,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.5527913900693004,0.2947569449876557,97
55,2014-11-01,-0.5043301736053807,0.5043301736053807,-0.358637283903082,0.358637283903082,0.6140293772968535,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.552421586853435,0.29512674820352114,98
105,2019-01-01,-0.5014812015235381,0.5014812015235381,-0.3548881759310215,0.3548881759310215,0.6160325045492911,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.551618999546997,0.2959293355099595,99
158,2023-06-01,0.5000194518803892,0.5000194518803892,0.9630377200897465,0.9630377200897465,0.6170613808533301,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.936520466048495,-0.08897213099153856,100
190,2026-02-01,0.4910107638396694,0.4910107638396694,0.951182727067342,0.951182727067342,0.6234188345473917,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.928202507820749,-0.08065417276379261,101
