fecha,ipc,ipc_sa,infl_interanual_base,infl_interanual_ipc,infl_mensual_sa,infl_mensual_sa_anualizada,infl_3m_sa_anualizada,infl_subyacente,exp_inf_24m,meta_inflacion
2015-11-01,68.6836948,68.69938670354297,2.51,2.481848713932155,0.4419361474440997,5.303233769329196,4.50072267180559,3.15,3.37,4
2015-12-01,68.9784746,69.07512554150367,3.07,3.0201678780470864,0.5454416254171868,6.545299505006241,6.0944161135306985,3.16,3.65,4
2016-01-01,69.6077161,69.64629614047215,4.38,4.284646627625666,0.82348323675836,9.88179884110032,7.243444038478586,3.15,3.8,4
2016-02-01,69.755106,69.78683649300048,4.27,4.182141048974497,0.20158824157174848,2.419058898860982,6.282052414989181,3.2,4.09,4
2016-03-01,69.8968271,69.89285905739827,4.26,4.173482004328122,0.1518081555682116,1.821697866818539,4.70751853559328,3.28,3.99,4
2016-04-01,70.0158727,70.02294895614878,4.09,4.005986254095806,0.1859545938147633,2.23145512577716,2.1574039638188935,3.23,4.19,4
2016-05-01,70.3389968,70.43492895290082,4.36,4.264371553121382,0.586625946995678,7.039511363948137,3.697554785514612,3.31,4.16,4
2016-06-01,70.6507831,70.62145057389407,4.43,4.337278513816756,0.26446408213782746,3.1735689856539295,4.148178491793075,3.23,4.39,4
2016-07-01,71.1383035,70.94993216908205,4.62,4.515108484506758,0.4640516724417232,5.568620069300678,5.260566806300915,3.21,4.41,4
2016-08-01,71.2686869,71.15097053931595,4.74,4.631549985145522,0.28295176248862575,3.395421149863509,4.045870068272706,3.09,4.45,4
2016-09-01,71.121297,71.13199422033497,4.56,4.457857663816256,-0.02667405634335651,-0.32008867612027814,2.8813175143479697,3,4.42,4
2016-10-01,71.6144863,71.65207245425324,4.76,4.6501168003076465,0.7284853920127787,8.741824704153345,3.939052392632192,3.04,4.43,4
2016-11-01,71.8922596,71.9086845521872,4.67,4.565677195212281,0.3574965423487342,4.28995850818481,4.237231512072626,3.09,4.6,4
