fecha,exp_inf_24m,infl_gt,meta_inflacion,tcdep,exp_gap_24,infl_gap,exp_gap_24_lag1,infl_gap_lag1,tcdep_lag1
2013-03-01,4.66,4.34,4,0.9760012596877754,0.6600000000000001,0.33999999999999986,0.6100000000000003,0.17999999999999972,0.602948698016581
2013-04-01,4.93,4.13,4,0.7880788159753127,0.9299999999999997,0.1299999999999999,0.6600000000000001,0.33999999999999986,0.9760012596877754
2013-05-01,4.83,4.27,4,0.04629415349159949,0.8300000000000001,0.2699999999999996,0.9299999999999997,0.1299999999999999,0.7880788159753127
2013-06-01,5.21,4.79,4,-0.4422066966483395,1.21,0.79,0.8300000000000001,0.2699999999999996,0.04629415349159949
2013-07-01,4.81,4.74,4,-0.03923370204264032,0.8099999999999996,0.7400000000000002,1.21,0.79,-0.4422066966483395
2013-08-01,4.89,4.42,4,0.1781574414516207,0.8899999999999997,0.41999999999999993,0.8099999999999996,0.7400000000000002,-0.03923370204264032
2013-09-01,4.91,4.21,4,-0.38768934210642314,0.9100000000000001,0.20999999999999996,0.8899999999999997,0.41999999999999993,0.1781574414516207
2013-10-01,4.71,4.15,4,1.0101207864237072,0.71,0.15000000000000036,0.9100000000000001,0.20999999999999996,-0.38768934210642314
2013-11-01,4.7,4.63,4,0.45908409604296097,0.7000000000000002,0.6299999999999999,0.71,0.15000000000000036,1.0101207864237072
2013-12-01,5.19,4.39,4,-0.38915218341162294,1.1900000000000004,0.3899999999999997,0.7000000000000002,0.6299999999999999,0.45908409604296097
2014-01-01,4.94,4.14,4,-0.48802981113409416,0.9400000000000004,0.13999999999999968,1.1900000000000004,0.3899999999999997,-0.38915218341162294
2014-02-01,4.68,3.5,4,-0.8280367886809081,0.6799999999999997,-0.5,0.9400000000000004,0.13999999999999968,-0.48802981113409416
2014-03-01,4.54,3.25,4,-1.0138926314088526,0.54,-0.75,0.6799999999999997,-0.5,-0.8280367886809081
2014-04-01,4.66,3.27,4,-0.6014583603513479,0.6600000000000001,-0.73,0.54,-0.75,-1.0138926314088526
2014-05-01,4.28,3.22,4,-0.709617409829777,0.28000000000000025,-0.7799999999999998,0.6600000000000001,-0.73,-0.6014583603513479
2014-06-01,4.36,3.13,4,-0.11490347768612352,0.3600000000000003,-0.8700000000000001,0.28000000000000025,-0.7799999999999998,-0.709617409829777
2014-07-01,4.41,3.41,4,-0.6836068324102218,0.41000000000000014,-0.5899999999999999,0.3600000000000003,-0.8700000000000001,-0.11490347768612352
2014-08-01,4.06,3.7,4,-1.0368843052865897,0.05999999999999961,-0.2999999999999998,0.41000000000000014,-0.5899999999999999,-0.6836068324102218
2014-09-01,4.13,3.45,4,-2.771462252221468,0.1299999999999999,-0.5499999999999998,0.05999999999999961,-0.2999999999999998,-1.0368843052865897
2014-10-01,4.17,3.64,4,-4.0320256621181105,0.16999999999999993,-0.3599999999999999,0.1299999999999999,-0.5499999999999998,-2.771462252221468
2014-11-01,4.16,3.38,4,-3.651252238364,0.16000000000000014,-0.6200000000000001,0.16999999999999993,-0.3599999999999999,-4.0320256621181105
2014-12-01,4.21,2.95,4,-3.1035216995545234,0.20999999999999996,-1.0499999999999998,0.16000000000000014,-0.6200000000000001,-3.651252238364
2015-01-01,3.89,2.32,4,-2.7606285326125413,-0.10999999999999988,-1.6800000000000002,0.20999999999999996,-1.0499999999999998,-3.1035216995545234
2015-02-01,4.07,2.44,4,-1.5340338101232476,0.07000000000000028,-1.56,-0.10999999999999988,-1.6800000000000002,-2.7606285326125413
2015-03-01,4.11,2.43,4,-1.3411282460654483,0.11000000000000032,-1.5699999999999998,0.07000000000000028,-1.56,-1.5340338101232476
2015-04-01,3.82,2.58,4,-0.839415239486696,-0.18000000000000016,-1.42,0.11000000000000032,-1.5699999999999998,-1.3411282460654483
2015-05-01,3.57,2.55,4,-0.551634383885391,-0.43000000000000016,-1.4500000000000002,-0.18000000000000016,-1.42,-0.839415239486696
2015-06-01,3.67,2.39,4,-2.005286397104644,-0.33000000000000007,-1.6099999999999999,-0.43000000000000016,-1.4500000000000002,-0.551634383885391
2015-07-01,3.56,2.32,4,-1.5890207365292677,-0.43999999999999995,-1.6800000000000002,-0.33000000000000007,-1.6099999999999999,-2.005286397104644
2015-08-01,3.31,1.96,4,-2.082871057659874,-0.69,-2.04,-0.43999999999999995,-1.6800000000000002,-1.5890207365292677
2015-09-01,3.4,1.88,4,-0.4032335970832523,-0.6000000000000001,-2.12,-0.69,-2.04,-2.082871057659874
2015-10-01,3.28,2.23,4,0.4749599998335796,-0.7200000000000002,-1.77,-0.6000000000000001,-2.12,-0.4032335970832523
2015-11-01,3.37,2.51,4,0.42158451403806474,-0.6299999999999999,-1.4900000000000002,-0.7200000000000002,-1.77,0.4749599998335796
2015-12-01,3.65,3.07,4,-0.11935614486109358,-0.3500000000000001,-0.9300000000000002,-0.6299999999999999,-1.4900000000000002,0.42158451403806474
2016-01-01,3.8,4.38,4,0.1677613290103075,-0.20000000000000018,0.3799999999999999,-0.3500000000000001,-0.9300000000000002,-0.11935614486109358
