fecha_inicio,fecha_fin,beta,se_beta,p_beta,rho,se_rho,p_rho,r2_ajustado,beta_ic_inf,beta_ic_sup,rho_ic_inf,rho_ic_sup,velocidad_ajuste,vida_media,multiplicador_lp,rho_ic_incluye_uno
2012-11-01,2016-12-01,0.11678035820657126,0.04487322903426145,0.012343081162700166,0.7656216098111326,0.06874397706783433,8.843028284898668e-15,0.8467878551057533,0.028828829299418823,0.2047318871137237,0.6308834147581773,0.9003598048640878,0.2343783901888674,2.595403501977207,0.49825565451007237,FALSE
2012-12-01,2017-01-01,0.11992031489653694,0.0439479666144502,0.008916639634602468,0.7541195534409106,0.06625371041888593,4.1701515571573475e-15,0.8429696013488972,0.03378230033221456,0.20605832946085934,0.6242622810198942,0.883976825861927,0.24588044655908936,2.4561887323562632,0.4877179807289719,FALSE
2013-01-01,2017-02-01,0.1347206488246728,0.0390528582293229,0.0011951582553328339,0.7349333811496744,0.05856140927542656,1.2907026088200104e-16,0.8480080977900739,0.05817704669519992,0.2112642509541457,0.6201530189698384,0.8497137433295104,0.26506661885032556,2.2506574601929876,0.508252036446525,FALSE
2013-02-01,2017-03-01,0.16231458978538763,0.03286690905343313,1.03520376515155e-5,0.6904900405509108,0.04467576413405515,4.7316524600576494e-20,0.8684149910442447,0.09789544804065868,0.22673373153011656,0.6029255428481627,0.7780545382536589,0.3095099594490892,1.8715814769625145,0.5244244484872109,FALSE
2013-03-01,2017-04-01,0.16368977271211504,0.03363925796022726,1.3212421046880612e-5,0.6921361716547754,0.0481822344255202,8.182944948367854e-19,0.8655565593276973,0.09775682711006962,0.22962271831416048,0.5976989921807558,0.7865733511287949,0.30786382834522463,1.883692564315295,0.531695371918005,FALSE
2013-04-01,2017-05-01,0.16053449956097976,0.031877374283056516,7.447251409776394e-6,0.6879228441560061,0.046056386167788496,1.805983597234632e-19,0.8542031819068925,0.09805484596618899,0.22301415315577053,0.5976523272671407,0.7781933610448716,0.31207715584399387,1.8529453289545892,0.5144064426209726,FALSE
2013-05-01,2017-06-01,0.15785586228701265,0.030954725492906926,6.002706080797261e-6,0.6816358589034489,0.043220330328840054,2.1269286190245718e-20,0.8564835622918472,0.09718460032091508,0.21852712425311022,0.5969240114589224,0.7663477063479754,0.3183641410965511,1.8085574603328036,0.49583430389900385,FALSE
2013-06-01,2017-07-01,0.16399095041710654,0.03150917270226204,4.198928834068508e-6,0.6705288448916666,0.04512299472428259,2.2059300380340504e-19,0.8517333305084154,0.10223297192067293,0.22574892891354015,0.5820877752320728,0.7589699145512605,0.32947115510833336,1.734218225793288,0.497739932235296,FALSE
2013-07-01,2017-08-01,0.15906667110923703,0.028543404527095573,1.1855180169161422e-6,0.6488376999803744,0.04417736845529462,3.4756044118659338e-19,0.8620561720934046,0.10312159823612971,0.21501174398234435,0.562250057807997,0.7354253421527519,0.35116230001962556,1.602383200860698,0.45297194801477036,FALSE
2013-08-01,2017-09-01,0.16220115541918523,0.02705218097740977,2.73074377819633e-7,0.6717294292780912,0.04182573124048113,1.0325932476331413e-20,0.8645551642811599,0.10917888070346207,0.21522343013490838,0.5897509960467482,0.7537078625094342,0.3282705707219088,1.7420150348193113,0.4941081226455489,FALSE
2013-09-01,2017-10-01,0.16098631577241573,0.027300411128343083,3.8546214639465696e-7,0.6593986660561991,0.042647173046237545,4.658169789180536e-20,0.858045935865911,0.10747750996086329,0.21449512158396816,0.5758102068855735,0.7429871252268248,0.3406013339438009,1.6645107745426184,0.47265321573572705,FALSE
2013-10-01,2017-11-01,0.1629431179607228,0.027754725576121155,4.2197121077920785e-7,0.6515401592679109,0.04267807561897979,7.682527248735847e-20,0.8535854382061185,0.10854385583152534,0.21734238008992027,0.5678911310547105,0.7351891874811113,0.34845984073208913,1.6179292726665424,0.4676094600123532,FALSE
2013-11-01,2017-12-01,0.15954355084559976,0.026707951808769396,2.9505719008251813e-7,0.6560186369608695,0.04624300952172606,1.3226079213766197e-18,0.8508652304969027,0.10719596530041176,0.21189113639078777,0.5653823382982864,0.7466549356234525,0.3439813630391305,1.6442195250529403,0.46381452017053165,FALSE
2013-12-01,2018-01-01,0.15692982237287206,0.024360197429407232,5.749257023086517e-8,0.6536314123275204,0.04672504961858456,2.2586219946092837e-18,0.851575432101905,0.10918383541123389,0.20467580933451024,0.5620503150750946,0.7452125095799462,0.3463685876724796,1.6301226412539782,0.4530717506093893,FALSE
