fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,lambda_se,lambda_li_95,lambda_ls_95,pi_estrella_t,pi_estrella_se,pi_estrella_li_95,pi_estrella_ls_95,expectativa,inflacion,meta_inflacion
2017-03-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245506,0.030135756438093787,0.8967556276466297,0.7081123575922437,0.07570093207191245,0.5597412571351822,0.8564834580493051,4.365959239911676,0.187466183225026,3.998532272471438,4.733386207351913,4.28,4,4
2017-04-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245484,0.030135756438093728,0.8967556276466297,0.7081123575922441,0.07570093207191327,0.5597412571351811,0.8564834580493071,4.365959239911669,0.18746618322490538,3.998532272471668,4.73338620735167,4.51,4.09,4
2017-05-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724549,0.03013575643809377,0.8967556276466296,0.7081123575922441,0.07570093207191429,0.559741257135179,0.8564834580493093,4.365959239911666,0.18746618322508662,3.9985322724713095,4.733386207352022,4.17,3.93,4
2017-06-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724547,0.03013575643809374,0.8967556276466296,0.7081123575922443,0.07570093207191413,0.5597412571351796,0.856483458049309,4.365959239911661,0.18746618322499475,3.998532272471485,4.733386207351838,4.26,4.36,4
2017-07-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245445,0.03013575643809371,0.8967556276466296,0.7081123575922447,0.07570093207191489,0.5597412571351784,0.8564834580493109,4.365959239911656,0.18746618322515768,3.9985322724711603,4.733386207352152,4.48,5.22,4
2017-08-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.3191892371724548,0.03013575643809371,0.8967556276466294,0.7081123575922452,0.07570093207191525,0.5597412571351783,0.8564834580493121,4.365959239911648,0.1874661832250788,3.998532272471307,4.733386207351989,4.51,4.72,4
2017-09-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245484,0.03013575643809378,0.8967556276466295,0.7081123575922443,0.07570093207191358,0.5597412571351806,0.856483458049308,4.36595923991166,0.18746618322498834,3.9985322724714956,4.733386207351823,4.75,4.36,4
2017-10-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245495,0.0301357564380938,0.8967556276466294,0.7081123575922443,0.07570093207191345,0.559741257135181,0.8564834580493077,4.365959239911655,0.18746618322505243,3.9985322724713654,4.733386207351945,4.53,4.2,4
2017-11-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245506,0.030135756438093828,0.8967556276466294,0.7081123575922441,0.07570093207191331,0.559741257135181,0.8564834580493073,4.365959239911658,0.18746618322491274,3.998532272471642,4.733386207351674,4.63,4.69,4
2017-12-01,S6,"M3 cuatro rezagos + controles externos: z_tc_lag, z_petroleo_lag, z_infl_ext_lag",0.31918923717245495,0.03013575643809388,0.8967556276466295,0.7081123575922433,0.07570093207191404,0.5597412571351787,0.8564834580493079,4.365959239911667,0.18746618322507302,3.998532272471337,4.733386207351996,4.56,5.68,4
