fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,pi_estrella_t,inflacion,expectativa,meta_inflacion
2020-10-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724851,0.030135756438095802,0.8967556276466204,0.7081123575922504,4.36595923991165,5.34,4.15,4
2020-11-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248526,0.030135756438095802,0.8967556276466204,0.7081123575922504,4.365959239911652,5.46,4.27,4
2020-12-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724855,0.03013575643809584,0.8967556276466204,0.7081123575922501,4.365959239911657,4.82,4.26,4
2021-01-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248554,0.03013575643809588,0.8967556276466202,0.7081123575922503,4.365959239911647,5.24,4.12,4
2021-02-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724855,0.030135756438095903,0.8967556276466202,0.7081123575922501,4.365959239911648,6,4.39,4
2021-03-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.030135756438095924,0.8967556276466201,0.7081123575922502,4.3659592399116445,5.84,4.34,4
2021-04-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248554,0.030135756438095917,0.8967556276466202,0.7081123575922499,4.36595923991165,5.2,4.39,4
2021-05-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248576,0.030135756438095906,0.8967556276466201,0.7081123575922503,4.365959239911645,5.17,4.41,4
2021-06-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724856,0.03013575643809591,0.8967556276466201,0.7081123575922503,4.365959239911643,3.91,4.23,4
2021-07-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724856,0.030135756438095896,0.8967556276466201,0.7081123575922506,4.365959239911642,3.82,4.12,4
2021-08-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248543,0.030135756438095875,0.8967556276466202,0.7081123575922503,4.365959239911645,3.62,4.14,4
2021-09-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724857,0.0301357564380959,0.8967556276466201,0.7081123575922504,4.3659592399116445,3.67,4.2,4
2021-10-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724857,0.030135756438095903,0.8967556276466202,0.7081123575922501,4.365959239911652,2.96,3.89,4
2021-11-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248554,0.03013575643809588,0.8967556276466202,0.7081123575922503,4.365959239911647,2.89,4.08,4
2021-12-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724858,0.0301357564380959,0.8967556276466202,0.7081123575922501,4.3659592399116525,3.07,4.02,4
2022-01-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248576,0.030135756438095886,0.8967556276466202,0.7081123575922503,4.365959239911651,2.87,4.09,4
2022-02-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.030135756438095893,0.8967556276466202,0.7081123575922502,4.36595923991165,2.98,3.92,4
2022-03-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724858,0.03013575643809589,0.8967556276466201,0.7081123575922506,4.365959239911645,4.17,3.8,4
2022-04-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248576,0.030135756438095875,0.8967556276466202,0.7081123575922503,4.365959239911651,4.62,3.94,4
2022-05-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248593,0.030135756438095865,0.8967556276466202,0.7081123575922504,4.365959239911652,5.82,4.01,4
2022-06-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724858,0.030135756438095844,0.8967556276466202,0.7081123575922507,4.36595923991165,7.55,4.16,4
2022-07-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248593,0.030135756438095858,0.8967556276466202,0.7081123575922506,4.365959239911651,8.36,4.51,4
2022-08-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724857,0.030135756438095834,0.8967556276466202,0.7081123575922508,4.365959239911647,8.87,4.55,4
2022-09-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724859,0.030135756438095837,0.8967556276466202,0.7081123575922508,4.365959239911649,9.03,4.61,4
2022-10-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724859,0.03013575643809584,0.8967556276466202,0.7081123575922508,4.365959239911649,9.7,4.67,4
2022-11-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248593,0.030135756438095844,0.8967556276466202,0.7081123575922507,4.365959239911651,9.17,4.8,4
2022-12-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248576,0.030135756438095837,0.8967556276466202,0.7081123575922508,4.365959239911648,9.24,4.71,4
2023-01-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248576,0.030135756438095837,0.8967556276466202,0.7081123575922508,4.365959239911648,9.69,4.62,4
2023-02-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.03013575643809583,0.8967556276466202,0.7081123575922508,4.365959239911645,9.92,4.49,4
2023-03-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248576,0.030135756438095834,0.8967556276466202,0.7081123575922508,4.365959239911648,8.71,4.43,4
2023-04-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.03013575643809583,0.8967556276466202,0.7081123575922508,4.365959239911645,8.32,4.39,4
2023-05-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724857,0.030135756438095834,0.8967556276466202,0.7081123575922508,4.365959239911647,6.54,4.3,4
2023-06-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.03013575643809583,0.8967556276466202,0.7081123575922508,4.365959239911645,4.93,4.24,4
2023-07-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.030135756438095823,0.8967556276466202,0.7081123575922509,4.365959239911645,4.53,4.21,4
2023-08-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.030135756438095823,0.8967556276466202,0.7081123575922509,4.365959239911645,4.47,4.17,4
2023-09-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.030135756438095827,0.8967556276466203,0.7081123575922506,4.3659592399116525,4.69,4.15,4
2023-10-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.030135756438095827,0.8967556276466202,0.7081123575922508,4.365959239911645,4.98,4.32,4
2023-11-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724856,0.03013575643809582,0.8967556276466202,0.7081123575922509,4.3659592399116445,4.3,4.43,4
2023-12-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724857,0.030135756438095823,0.8967556276466202,0.7081123575922509,4.365959239911646,4.18,4.32,4
2024-01-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.030135756438095823,0.8967556276466202,0.7081123575922509,4.365959239911645,3.82,4.29,4
2024-02-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.030135756438095827,0.8967556276466203,0.7081123575922506,4.3659592399116525,3.3,4.28,4
2024-03-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724857,0.030135756438095827,0.8967556276466203,0.7081123575922506,4.3659592399116525,3.24,4.14,4
2024-04-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.030135756438095827,0.8967556276466202,0.7081123575922508,4.365959239911645,3.36,4.02,4
2024-05-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.030135756438095823,0.8967556276466202,0.7081123575922509,4.365959239911645,3.76,3.99,4
2024-06-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.31918923717248565,0.030135756438095823,0.8967556276466203,0.7081123575922506,4.3659592399116525,3.62,4.02,4
2024-07-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724857,0.030135756438095823,0.8967556276466203,0.7081123575922506,4.3659592399116525,3.78,4.07,4
2024-08-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724857,0.03013575643809582,0.8967556276466203,0.7081123575922506,4.3659592399116525,3.07,4.02,4
2024-09-01,S1,M3 AR(1) + inflación rezagada 12 meses,0.3191892371724857,0.03013575643809582,0.8967556276466203,0.7081123575922506,4.3659592399116525,2.11,3.97,4
